term,idf_sklearn_default
diversity,2.1043609326675776
safety,2.113695386888086
course,2.1201365164486843
mission,2.1271310804844648
studies,2.1312339509186744
board,2.1360911874332498
opportunities,2.138898517882188
experience,2.1426786802607896
dean,2.148786706699356
engagement,2.1538803506711
science,2.158622728485337
name,2.159302050698879
impact,2.174441751795187
career,2.1762832316372873
close,2.1813648563698056
practice,2.192542493509582
youtube,2.2014021696356205
organizations,2.2086737792929605
info,2.2148007131204634
courses,2.215838844577243
edu,2.2341421170814186
leadership,2.252703753800632
degree,2.2621990775162617
class,2.2621990775162617
learn,2.275001408524173
employment,2.291238305997393
get,2.3029373865266143
summer,2.3071302647866503
questions,2.3083565065098943
policy,2.3100231004661036
full,2.312924328928638
professor,2.3186636056423455
scholarships,2.3189292922223084
application,2.3205248957875
make,2.3268436103542762
meet,2.3271114794571774
real,2.330331518017637
use,2.3328431806225627
team,2.3440427196492903
next,2.345587963787152
open,2.347591242548525
honors,2.347591242548525
hall,2.3488681489606225
include,2.3516098797952703
marketing,2.3815210823672333
centers,2.389188307205832
location,2.392424247975673
online,2.402099116295484
subscribe,2.4044119244961357
strategic,2.411188329904126
share,2.4116741205379206
required,2.4185979377538067
arts,2.4220288091287734
global,2.4253729648960825
help,2.427049245917698
including,2.427937827701001
find,2.431698346729345
day,2.4376649515425672
corporate,2.4376649515425672
advising,2.445073134387055
categories,2.4470848027379586
general,2.4635302043291873
transfer,2.4639397047444103
working,2.466605552729435
data,2.467221758972616
areas,2.47412864690141
requirements,2.4787945271066167
part,2.4788984610047513
topics,2.4818130045480684
join,2.4836911353171693
well,2.4885068900178275
intellectual,2.4996931611592594
systems,2.5057605596225287
facilities,2.507042611080184
director,2.5084333574931668
calendar,2.514877370770623
tax,2.520170960618135
non,2.520929480457288
two,2.52800049169784
publications,2.5284372682935583
schools,2.5308429556210714
north,2.5318287709153235
visiting,2.5329252622532525
years,2.53523181498106
culture,2.5407451159681553
certificates,2.5448446175822728
communications,2.5511931380971147
giving,2.5515283898184196
compliance,2.5518637539711353
service,2.5518637539711353
major,2.552311081198456
click,2.557020138000029
world,2.5578071412448766
take,2.559608335022399
people,2.5638992178480113
institutes,2.5661649942789886
please,2.56627841797332
equity,2.566391854534045
explore,2.5667322414437823
departments,2.567981318992204
recent,2.5752797890679213
awards,2.5787193705374003
access,2.579178876576502
funding,2.5795236447233405
podcast,2.5851717491856414
tuition,2.59201513261737
success,2.5990228697747746
options,2.6111685293685336
available,2.6122368421296436
schedule,2.6156869674959466
fox,2.616044557344205
message,2.617715002786927
plan,2.618312267333142
list,2.6204653782127867
built,2.624665300388112
knowledge,2.633846326462498
land,2.6384686434140114
curriculum,2.640177002584836
degrees,2.6422553699813083
housing,2.6447060512715583
teaching,2.645196909055374
inclusion,2.6535785678863073
clinical,2.654445387332571
cost,2.6596621424252085
responsibility,2.662905253662392
members,2.665281888716903
provide,2.6655323897202168
event,2.668417670527587
ai,2.6724458733561915
state,2.6750982272950887
estate,2.6756042361610404
project,2.6788995496626917
based,2.679788607954567
process,2.6822057581677603
abroad,2.6846287651556695
see,2.691547434650323
many,2.6924478141567736
building,2.6924478141567736
archives,2.6925765060043227
need,2.693349005077115
