term,count
temple,449949
university,258955
faculty,218231
research,205815
student,201757
law,195363
students,184811
school,164964
program,154917
admissions,150884
graduate,142054
contact,138623
course,122362
programs,120216
search,116207
resources,114495
education,113101
events,105731
business,104331
media,102503
